EntrezGene ID	Affy HG U133B probeset
105373876	
158219	232000_at
158219	242477_at
158219	236826_at
158219	242477_at
158219	
158219	
158219	
158219	
158219	
158219	242477_at
158219	242477_at
124923	244547_at
124923	
124923	
124923	
124923	
124923	
124923	
124923	
124923	
124923	
124923	
124923	
22835	
22835	
22835	
22835	
22835	
22835	
22835	
22835	
22835	
22835	
22835	
22835	
653641	232813_s_at
152687	
152687	
152687	
152687	
152687	
729597	
64412	234055_s_at
64412	225884_s_at
64412	
64412	
64412	
64412	234055_s_at
64412	225884_s_at
6015	
6015	
713	
713	
713	
713	
3133	
3133	
3133	
135941	
135941	
22856	
22856	
22856	
22856	
22856	
22856	
140850	233343_at
54495	225302_at
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
100507173	
100507173	
100507173	
100507173	
100288428	
100288428	
100288428	
100288428	
100288428	
100288428	
100288428	
101927394	
101927394	
101927394	
101927394	
101927394	
101927394	
101927394	
56245	
56245	
56245	
56245	
56245	
344595	235606_at
344595	239466_at
344595	
344595	
344595	
344595	
3577	
58530	
58530	
58530	
83890	223840_s_at
83890	223841_s_at
83890	223841_s_at
83890	223840_s_at
83890	223841_s_at
83890	223840_s_at
83890	223840_s_at
83890	223840_s_at
400684	232965_at
51209	222918_at
80010	
80010	
80010	
101927132	
101927132	
114791	
114791	
114791	
114791	
114791	
114791	
114791	
114791	
114791	
114791	
114791	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
79645	
79645	
79645	
79645	
79645	
79645	
79645	
79645	
79645	239500_at
153643	240065_at
153643	
153643	240065_at
153643	
153643	
153643	
153643	
153643	240065_at
153643	240065_at
55168	
55168	
55168	
100507534	
5652	
5652	
5652	
5652	
5652	
5652	
4588	
4588	
4588	
4588	
4588	
56902	242627_at
56902	242905_at
56902	
56902	
6749	
6749	
6749	
6749	
6749	
9678	
9678	
9678	
9678	228095_at
9678	228095_at
9678	
9678	
9678	
9678	
9678	228095_at
9678	
9678	
9678	228095_at
9678	228095_at
9678	228095_at
168850	
168850	227104_x_at
168850	227101_at
168850	227104_x_at
168850	227101_at
168850	227104_x_at
168850	227101_at
168850	227101_at
168850	227101_at
168850	
168850	227104_x_at
168850	227101_at
136332	244710_at
136332	
92304	230378_at
92304	230378_at
83755	224269_at
64788	
64788	
64788	227984_at
64788	227984_at
64788	227984_at
64788	227984_at
64788	227984_at
64788	227984_at
105274304	240032_at
23001	
23001	
23001	
23001	
23001	
23001	
23001	
23001	238660_at
23001	
23001	
23001	
23001	
3812	
3812	
154442	232492_at
154442	232492_at
154442	232492_at
154442	
10980	
10980	
10980	
10980	
10980	
10980	
10980	
10980	
10980	
10980	
80184	
80184	
80184	
80184	
80184	
80184	
80184	
80184	
491	239357_at
491	239357_at
491	234714_x_at
491	239357_at
491	239357_at
491	
491	234714_x_at
491	
491	
491	239357_at
81871	234683_at
101928891	
100507629	
100507629	231458_at
100507629	231458_at
100507629	231458_at
100507629	
100507629	
100507629	
4116	
4116	
4116	
4116	
10112	
10112	
10112	
10112	
10112	
10112	
10112	
1399	
1399	
26228	
26228	
22880	228449_at
22880	
22880	
22880	
22880	
22880	
27293	
27293	
27293	
27293	
27293	
27293	
643803	
85289	234637_at
100130148	
100507246	
100507246	
100507246	
100507246	224601_at
100507246	224601_at
100507246	224603_at
100507246	224601_at
100507246	224603_at
100507246	224601_at
100507246	224603_at
100507246	224601_at
241	
241	
241	
27145	235183_at
27145	231945_at
27145	231945_at
27145	231945_at
8705	
8705	
101929602	
93035	230673_at
93035	230673_at
93035	
93035	230673_at
6358	
6358	
6358	
6358	
100874097	
158798	237281_at
158798	237282_s_at
158798	242698_at
158798	237282_s_at
158798	237281_at
158798	237282_s_at
158798	237281_at
158798	237281_at
158798	237282_s_at
100128505	
81392	
154822	
154822	
154822	
154822	
84233	223334_at
84233	223334_at
84233	223334_at
