EntrezGene ID	RefSeq ncRNA [e.g. NR_002834]
767599	NR_003214
102465449	NR_106809
9972	
100616149	NR_039737
100500886	NR_037454
51156	
26869	NR_004408
102466657	NR_106760
94033	
56005	
3797	
7052	
619570	NR_002591
26152	
100422957	NR_036081
100422959	NR_036228
100422844	NR_036063
148206	
100500809	NR_037414
100500820	NR_037428
101929297	NR_125862
102466880	NR_107055
100616203	NR_039887
29844	
100616441	NR_039685
9907	
494335	NR_029945
100526767	
359	
65243	
401093	NR_027038
401093	NR_027037
401093	
158833	
100126340	NR_030642
165631	
414196	NR_126062
57189	
79690	
340205	
101928661	NR_125860
6928	
677767	NR_003001
26831	NR_002756
693144	NR_030286
677778	NR_003011
767593	NR_003208
1136	
100616339	NR_039639
102465861	NR_107022
100302190	NR_031740
100313841	NR_031752
441864	
101927694	NR_104648
1351	
353513	
100505915	NR_125434
101928682	
101928682	NR_104667
692209	NR_003074
677814	NR_002967
100847088	NR_049851
105374896	
149086	NR_034112
149086	
100616383	NR_039822
100616165	NR_039929
196500	
64112	
101340251	NR_102369
100847040	NR_049890
51594	
90025	
594838	NR_002435
619564	NR_002583
9656	
100313771	NR_031643
100423025	NR_036168
3106	
767611	NR_003223
9730	
102465944	NR_106720
100423016	NR_036116
100616347	NR_039672
389831	
102723360	
102724219	
102724441	
102724843	
102724951	
574460	NR_030182
692085	NR_003042
102465490	NR_106874
102465536	NR_106950
100616298	NR_039720
5817	
390245	
100302148	NR_031665
100302126	NR_031717
103504738	NR_128720
442914	NR_029862
407044	NR_029606
100847042	NR_049837
25853	
100313914	NR_031615
389434	
100313895	NR_031645
4012	
9698	
101928708	NR_110939
100422926	NR_036089
3987	
100288695	
100616255	NR_039806
100616255	NR_039809
102465521	NR_106924
102465136	NR_106744
102465856	NR_107014
100422835	NR_036148
402055	
103625684	NR_125730
100422904	NR_036161
1474	
100381270	
26771	NR_002574
164091	
255919	
677819	NR_002970
142683	
54716	
100616157	NR_039930
102465494	NR_106881
100302133	NR_031619
406972	NR_029582
54660	NR_001281
54660	
147948	
100500898	NR_037493
105379554	
11149	
100033447	NR_003302
100500884	NR_037452
692199	NR_003065
6477	
837	
102465835	NR_106999
100422880	NR_036120
9231	
284551	NR_027085
284551	
693173	NR_030316
406897	NR_029521
100616153	NR_039879
100379224	NR_033341
100379224	
574515	NR_030237
54033	
574494	NR_030216
101954264	NR_104073
101954264	NR_125392
101954268	NR_104073
101954268	NR_125392
100500867	NR_037455
100422973	NR_036128
5158	
441631	
400798	
400798	NR_033186
406932	NR_029681
100616426	NR_039843
338429	NR_001289
56663	NR_026704
100616117	NR_039797
693193	NR_030339
102466879	NR_107050
692109	NR_003057
100847005	NR_049895
100616344	NR_039694
26807	NR_002439
100616231	NR_039744
414236	
147645	
22937	
30846	
100422975	NR_036218
100500888	NR_037505
677831	NR_002981
23466	
100302242	NR_031601
100313773	NR_031678
100422839	NR_036065
100422839	NR_036064
100423010	NR_036065
100423010	NR_036064
84669	
102465878	NR_107049
102465435	NR_106785
100422824	NR_036075
1797	
388701	
100423037	NR_036137
106780802	NR_133662
106780802	
406980	NR_029490
8334	
5184	
100036564	NR_003496
677839	NR_003017
100616425	NR_039903
100616113	NR_039828
100847015	NR_049874
79825	
100302179	NR_036053
102466247	NR_106996
100313923	NR_031572
692092	NR_003049
57498	
100423014	NR_036163
100033448	NR_003303
26121	
102464833	NR_106732
102466191	NR_106794
100616350	NR_039804
100422883	NR_036219
261726	
100616288	NR_039811
100847086	NR_049884
100616326	NR_039779
100616159	NR_039939
100616194	NR_039689
79042	
100500813	NR_037419
693212	NR_030357
3111	
693125	NR_030312
100500877	NR_037488
100423017	NR_036091
100616217	NR_039606
100616464	NR_039938
102465510	NR_106906
692057	NR_003030
114825	
3010	
55602	
102466738	NR_106856
100423000	NR_036119
23769	
79791	
102465431	NR_106780
102465452	NR_106813
102465882	NR_107056
692111	NR_003059
574475	NR_030197
768219	NR_030414
102466740	NR_106866
100500862	NR_037421
574030	NR_029850
79000	
574451	NR_030173
677849	NR_004396
116938	NR_000028
4696	
100616338	NR_039957
100616471	NR_039961
100313822	NR_031708
55670	
693164	NR_030305
692110	NR_003058
100616452	NR_039604
102465693	NR_106980
4864	
8724	
57504	
7014	
664709	NR_002944
664709	
100036565	NR_003497
102724788	
100616470	NR_039708
407027	NR_029842
406965	NR_029709
427	
100033453	NR_003307
407048	NR_029508
574482	NR_030204
767568	NR_003236
100422860	NR_036251
103504737	NR_130470
977	
100616358	NR_039964
26782	NR_002444
100616171	NR_039907
102466876	NR_107035
574476	NR_030198
51719	
100033821	NR_003360
100302210	NR_031730
693229	NR_030374
100169768	NR_023379
102466204	NR_106940
406901	NR_029524
2538	
693225	NR_030370
100500899	NR_037463
677827	NR_002978
100422943	NR_036156
407036	NR_029506
102466747	NR_106899
100616394	NR_039646
100033818	NR_003359
4485	
102465453	NR_106814
406978	NR_029619
693195	NR_030341
102465445	NR_106801
102465251	NR_106759
100302174	NR_031707
100616395	NR_039952
342510	
8483	
6060	NR_004421
692226	NR_004379
406979	NR_029489
