EntrezGene ID	Agilent WholeGenome 4x44k v1 probe
102465521	A_23_P365189
102465136	
102465856	
100422835	
402055	A_32_P135385
402055	A_24_P288954
103625684	
100422904	
1474	A_23_P146946
100381270	
26771	A_23_P2725
164091	A_32_P538180
164091	A_23_P410159
255919	A_32_P135558
255919	A_23_P397417
255919	
677819	
142683	A_24_P53778
142683	
54716	A_23_P212379
54716	A_24_P20369
54716	A_24_P371331
54716	
100616157	
102465494	
100302133	
406972	
54660	A_23_P390958
54660	
147948	
147948	A_23_P395464
100500898	
105379554	A_23_P356646
105379554	A_32_P449517
11149	A_32_P181638
11149	A_23_P502783
100033447	
100500884	
692199	
6477	A_23_P106798
6477	
837	A_23_P35906
837	A_23_P35912
837	
102465835	
100422880	
9231	
9231	A_23_P161209
9231	A_24_P129632
199713	A_23_P16384
284551	
693173	
406897	
100616153	
100379224	
574515	
54033	A_23_P342000
54033	
574494	
101954264	
101954268	
100500867	
100422973	
5158	A_23_P22143
5158	A_23_P10743
5158	
441631	
441631	A_23_P76136
400798	
406932	
100616426	
338429	
56663	
100616117	
693193	
102466879	
692109	
100847005	
100616344	
26807	
100616231	
414236	
147645	A_23_P101246
147645	A_23_P101240
22937	A_23_P252825
22937	
30846	A_24_P156113
30846	
100422975	
100500888	A_24_P134235
677831	A_23_P79927
23466	A_24_P370372
23466	A_24_P254437
23466	
100302242	
100313773	
100422839	
100423010	
84669	
102465878	
102465435	
100422824	
1797	
388701	
100423037	
106780802	A_32_P805871
106780802	A_23_P202773
406980	
8334	A_23_P372860
8334	A_23_P167983
5184	A_23_P83436
5184	
100036564	
677839	
100616425	
100616113	A_23_P258862
100847015	
79825	A_23_P166566
100302179	
102466247	
100313923	
692092	
57498	A_24_P97145
57498	A_23_P131747
57498	
100423014	
100033448	
26121	
102464833	
102466191	
100616350	
100422883	
261726	A_23_P327426
261726	
100616288	
100847086	
100616326	
100616159	
100616194	
79042	
100500813	
693212	
3111	
693125	
100500877	
100423017	
100616217	
100616464	
102465510	A_23_P32463
692057	
114825	
114825	A_24_P263776
114825	A_23_P398770
3010	A_23_P133842
55602	A_23_P258002
55602	
102466738	
100423000	
23769	A_23_P47168
79791	A_23_P395566
79791	
102465431	
102465452	A_23_P53217
102465882	
692111	
574475	
768219	
102466740	
100500862	
574030	
79000	A_23_P160537
79000	
574451	
677849	
116938	
4696	
100616338	
100616471	
100313822	
55670	A_24_P142973
55670	
55670	A_24_P160104
693164	
692110	
100616452	
102465693	
4864	
8724	A_23_P42498
8724	A_24_P277807
57504	A_23_P411431
57504	A_23_P154522
57504	
7014	A_23_P417200
7014	
664709	A_32_P113436
664709	A_32_P8015
664709	A_32_P19431
664709	A_32_P189803
100036565	
102724788	
100616470	
407027	
406965	
427	
100033453	
407048	
574482	
767568	
100422860	
103504737	
977	A_23_P95470
977	
