EntrezGene ID	Ensembl Gene ID
406993	ENSG00000207702
653282	ENSG00000228517
100616490	ENSG00000266531
102465500	ENSG00000275721
100422971	ENSG00000265195
100847084	ENSG00000264406
84823	ENSG00000176619
100873857	ENSG00000276844
767606	ENSG00000200413
693172	ENSG00000207577
100422998	ENSG00000264073
100423034	ENSG00000264073
102465501	ENSG00000278280
103504729	ENSG00000277014
100847007	ENSG00000264857
112724	ENSG00000275474
79143	ENSG00000277733
26801	ENSG00000263864
100616236	ENSG00000263897
100847093	ENSG00000266204
100033444	ENSG00000278089
6880	ENSG00000279247
102157402	ENSG00000279247
139189	ENSG00000274588
80231	ENSG00000120280
26784	ENSG00000207405
102465500	ENSG00000277264
3224	ENSG00000037965
102466719	ENSG00000275466
100500870	ENSG00000266206
100422886	ENSG00000278808
103504733	ENSG00000275692
574497	ENSG00000207979
692233	ENSG00000263359
100422979	ENSG00000265407
102466985	ENSG00000274083
693182	ENSG00000207701
574463	ENSG00000207810
100008587	ENSG00000278189
100500814	ENSG00000264901
767592	ENSG00000199593
406916	ENSG00000207625
5698	ENSG00000243594
128866	ENSG00000101421
51206	ENSG00000274566
100616218	ENSG00000264770
574461	ENSG00000207599
54893	ENSG00000277086
100616182	ENSG00000266052
102466727	ENSG00000274314
869	ENSG00000102924
100500859	ENSG00000264897
26811	ENSG00000264294
4599	ENSG00000157601
100616230	ENSG00000266418
26812	ENSG00000206775
692149	ENSG00000252712
100422983	ENSG00000264005
102465254	ENSG00000277138
100422944	ENSG00000266189
768212	ENSG00000211582
100616450	ENSG00000265829
100616225	ENSG00000265595
100616500	ENSG00000264780
27316	ENSG00000147274
100422965	ENSG00000265321
102466812	ENSG00000278262
693155	ENSG00000274543
100616403	ENSG00000266737
677844	ENSG00000273587
102465875	ENSG00000277533
677835	ENSG00000206693
677808	ENSG00000201998
26080	ENSG00000279516
100846991	ENSG00000266478
55655	ENSG00000277060
677805	ENSG00000207145
55655	ENSG00000275843
100616186	ENSG00000266703
100847019	ENSG00000265135
26783	ENSG00000201302
406941	ENSG00000207611
100422956	ENSG00000274850
267010	ENSG00000276027
102466734	ENSG00000278223
100616378	ENSG00000265575
29995	ENSG00000071282
101927459	ENSG00000253877
100126301	ENSG00000212013
442892	ENSG00000199122
10915	ENSG00000113649
407016	ENSG00000207789
26785	ENSG00000206989
677799	ENSG00000221716
2339	ENSG00000168522
9437	ENSG00000273916
100500855	ENSG00000266449
8225	ENSG00000178605
100616404	ENSG00000263643
100126306	ENSG00000216005
693154	ENSG00000207963
102466720	ENSG00000275859
100126342	ENSG00000215943
10068	ENSG00000137496
26505	ENSG00000168763
406998	ENSG00000207798
693228	ENSG00000208002
693155	ENSG00000277314
693226	ENSG00000207631
407011	ENSG00000207563
100616164	ENSG00000264773
692206	ENSG00000212447
100616132	ENSG00000265178
677820	ENSG00000266847
1979	ENSG00000148730
100302178	ENSG00000221390
100616498	ENSG00000263831
7203	ENSG00000163468
406981	ENSG00000207812
26824	ENSG00000274978
103695436	ENSG00000258689
406944	ENSG00000207647
105374580	ENSG00000228481
1616	ENSG00000229396
10004	ENSG00000168060
100302196	ENSG00000266624
100616398	ENSG00000265719
100616276	ENSG00000277676
203611	ENSG00000129873
79576	ENSG00000101882
100423031	ENSG00000267021
100126329	ENSG00000275842
100126352	ENSG00000275842
103504732	ENSG00000275842
100126356	ENSG00000199187
100616495	ENSG00000266461
100500801	ENSG00000265596
100616178	ENSG00000266494
102466198	ENSG00000277872
100616228	ENSG00000266039
2979	ENSG00000112599
692086	ENSG00000212232
170689	ENSG00000166106
677776	ENSG00000251733
102465252	ENSG00000278386
1353	ENSG00000166260
100124540	ENSG00000221459
100422889	ENSG00000266761
100616218	ENSG00000266851
102465511	ENSG00000276987
102464831	ENSG00000278581
677834	ENSG00000201457
100422892	ENSG00000266407
677794	ENSG00000207313
102465539	ENSG00000276575
102466192	ENSG00000274986
102466162	ENSG00000276479
102465533	ENSG00000274390
102466731	ENSG00000276641
100423006	ENSG00000266454
116512	ENSG00000172938
338428	ENSG00000274640
100500852	ENSG00000264115
102465463	ENSG00000274816
100616300	ENSG00000265291
102466733	ENSG00000275820
51112	ENSG00000171853
100616331	ENSG00000264494
100302168	ENSG00000276948
100616140	ENSG00000265768
100500865	ENSG00000263597
100616264	ENSG00000266582
101060684	ENSG00000273136
100500833	ENSG00000280968
115123	ENSG00000173926
8711	ENSG00000174292
677763	ENSG00000252835
103504736	ENSG00000278618
653073	ENSG00000278119
653720	ENSG00000278119
728498	ENSG00000278119
105378732	ENSG00000225675
102465668	ENSG00000276712
100616431	ENSG00000264975
100616435	ENSG00000264319
25940	ENSG00000119812
100616246	ENSG00000264274
100616457	ENSG00000264200
100422952	ENSG00000264633
79165	ENSG00000278257
374907	ENSG00000177191
102465257	ENSG00000274066
378706	ENSG00000274012
100616128	ENSG00000265375
100616192	ENSG00000265375
344022	ENSG00000214513
102465437	ENSG00000278034
100616341	ENSG00000266139
100422896	ENSG00000264678
79613	ENSG00000103047
8227	ENSG00000197976
100616177	ENSG00000266802
101410545	ENSG00000251620
51725	ENSG00000163833
100506013	ENSG00000248329
677817	ENSG00000206948
128218	ENSG00000179178
100847085	ENSG00000264536
9655	ENSG00000171150
100500839	ENSG00000263763
102466972	ENSG00000275523
245939	ENSG00000185982
101929261	ENSG00000250668
102466190	ENSG00000274586
26519	ENSG00000134809
100126329	ENSG00000216195
100126330	ENSG00000216195
100126352	ENSG00000216195
144486	ENSG00000278916
56658	ENSG00000224994
202658	ENSG00000224994
693191	ENSG00000207583
353511	ENSG00000270580
100422823	ENSG00000264110
442902	ENSG00000199066
100616333	ENSG00000264744
3803	ENSG00000277725
102466874	ENSG00000276221
100500811	ENSG00000263697
102465492	ENSG00000277321
100500821	ENSG00000266855
56662	ENSG00000202515
100033443	ENSG00000200812
100422830	ENSG00000264657
6218	ENSG00000278229
3447	ENSG00000233816
677797	ENSG00000207088
677837	ENSG00000199266
80737	ENSG00000223757
100847075	ENSG00000264056
337976	ENSG00000184032
56979	ENSG00000164256
389362	ENSG00000180822
100500835	ENSG00000265810
100126319	ENSG00000211520
8449	ENSG00000227222
729665	ENSG00000151838
677825	ENSG00000273544
100313842	ENSG00000252695
100616276	ENSG00000263413
693233	ENSG00000207780
102465525	ENSG00000273745
140881	ENSG00000125903
56888	ENSG00000176407
407002	ENSG00000266574
4888	ENSG00000226306
440757	ENSG00000237282
100169758	ENSG00000202521
129790	ENSG00000182648
8220	ENSG00000100056
100423030	ENSG00000266649
100422924	ENSG00000263890
