EntrezGene ID	Affy HTA-2_0 probeset
406945	TC07002078.hg
103504727	
102465881	
100302191	TC0X001187.hg
9122	TC01002971.hg
9122	
2119	TC03003333.hg
2119	
407043	18670433
407043	18670434
154214	TC06003033.hg
154214	
677833	
102466866	
100422905	
100302201	TC12000522.hg
56126	TC05000753.hg
10471	
10471	TC06000419.hg
10471	TC6_dbb_hap3000101.hg
10471	TC6_qbl_hap6000100.hg
10471	TC6_mcf_hap5000094.hg
10471	TC6_cox_hap2000109.hg
767594	TC14000693.hg
102466197	
100873998	TC02001932.hg
102465908	
102466812	
100124534	TC09001332.hg
100422879	TC01002044.hg
692210	TC07000139.hg
100033436	TC15000068.hg
6085	TC05001521.hg
6085	TC12000319.hg
6085	TC20000651.hg
6085	TC07000973.hg
100847026	
102465476	
100422888	TC02002022.hg
100302193	TC04001426.hg
100616125	TC17001159.hg
768216	TC17001747.hg
406993	TC15001164.hg
653282	TC0X001334.hg
653282	TC0X001330.hg
653282	TC0X001333.hg
653282	TC0X001329.hg
653282	TC0X001337.hg
653282	TC0X001332.hg
653282	TC0X002361.hg
653282	TC0X001331.hg
653282	TC0X001336.hg
653282	TC0X002362.hg
653282	TC0X001335.hg
100616490	TC14000395.hg
102465500	
100422971	TC15001595.hg
100847084	
84823	TC19001029.hg
84823	TC19002289.hg
84823	TC19001030.hg
84823	
100873857	
767606	TC14000706.hg
693172	TC06000853.hg
100422998	TC22000623.hg
100423034	TC22000623.hg
102465501	
103504729	TC16000182.hg
103504729	TC16000911.hg
103504729	TC16000196.hg
103504729	TC16000910.hg
100847007	
112724	
79143	
26801	
100616236	TC09000783.hg
100847093	
100033444	
6880	
102157402	
139189	TC0X001037.hg
80231	TC0X000939.hg
26784	TC16000768.hg
26784	TC17002540.hg
26784	TC16000769.hg
26784	TC02000198.hg
102465500	TC08002294.hg
102465500	TC06002724.hg
3224	TC12000452.hg
102466719	
100500870	TC08000998.hg
100422886	
103504733	
574497	TC19000856.hg
692233	
100422979	TC19001711.hg
102466985	
693182	TC08000070.hg
574463	TC19000821.hg
100008587	
100500814	TC20000369.hg
767592	TC14000692.hg
767592	TC14000691.hg
406916	TC03000172.hg
5698	
128866	TC20000235.hg
51206	
100616218	
574461	TC19000819.hg
54893	
100616182	TC13000772.hg
102466727	
869	TC16001101.hg
869	
100500859	TC03001609.hg
26811	TC01000565.hg
4599	
4599	TC21000739.hg
4599	TC21000189.hg
100616230	
26812	18672326
