EntrezGene ID	Ensembl Transcript ID
27152	ENST00000335251
27152	ENST00000503626
27152	ENST00000503952
27152	ENST00000504276
27152	ENST00000506283
27152	ENST00000512995
27152	ENST00000510766
102723996	ENST00000612610
102723996	ENST00000623960
102723996	ENST00000623903
102723996	ENST00000623795
102723996	ENST00000620481
51398	ENST00000596731
51398	ENST00000222190
51398	ENST00000598732
51398	ENST00000600694
2252	ENST00000267843
2252	ENST00000560270
2252	ENST00000560765
2252	ENST00000560979
2252	ENST00000560704
2252	ENST00000614567
285761	ENST00000528138
285761	ENST00000525483
285761	ENST00000533950
285761	ENST00000528162
285761	ENST00000296955
285761	ENST00000338728
285761	ENST00000533453
285761	ENST00000481630
285761	ENST00000424717
285761	ENST00000534777
285761	ENST00000478345
285761	ENST00000487076
81623	ENST00000382398
81623	ENST00000542572
7428	ENST00000256474
7428	ENST00000345392
7428	ENST00000477538
4099	ENST00000600291
4099	ENST00000392213
4099	ENST00000361922
4099	ENST00000595791
4099	ENST00000597035
4099	ENST00000537831
4099	ENST00000593348
4099	ENST00000597162
79823	ENST00000402247
79823	ENST00000407131
79823	ENST00000403853
79823	ENST00000378494
79823	ENST00000454433
79823	ENST00000477623
79823	ENST00000428929
79823	ENST00000428993
79823	ENST00000477830
79823	ENST00000613618
105373876	ENST00000421907
158219	ENST00000512701
158219	ENST00000380853
158219	ENST00000507285
158219	ENST00000507993
158219	ENST00000505732
158219	ENST00000582994
158219	ENST00000506891
158219	ENST00000380850
158219	ENST00000297615
124923	ENST00000579457
124923	ENST00000578956
124923	ENST00000494272
124923	ENST00000301037
124923	ENST00000581199
124923	ENST00000526073
124923	ENST00000461399
124923	ENST00000527918
124923	ENST00000530121
124923	ENST00000469832
124923	ENST00000527863
124923	ENST00000525510
22835	ENST00000589018
22835	ENST00000351218
22835	ENST00000514101
22835	ENST00000587809
22835	ENST00000588979
22835	ENST00000477900
22835	ENST00000587199
22835	ENST00000591444
22835	ENST00000589676
22835	ENST00000586732
22835	ENST00000589789
22835	ENST00000392144
