EntrezGene ID	CCDS ID
100873856	
406902	
644139	CCDS45614
9351	
9351	CCDS58407
9351	CCDS45382
9351	CCDS45383
101954277	
100847074	
406924	
100616352	
285550	CCDS47028
285550	
100302213	
100500885	
407024	
9376	
9376	CCDS8042
9376	CCDS53644
9376	CCDS53643
100616241	
100422863	
100169753	
100126311	
2191	CCDS33311
2191	CCDS77480
2191	
100847063	
100616439	
102466516	
693151	
102466995	
100847004	
100846993	
319139	
619565	
102464824	
100616270	
100423013	
574038	
100616295	
25978	CCDS58840
25978	CCDS2918
25978	
102466725	
100616374	
652965	
100302273	
619569	
100616323	
1831	CCDS35365
1831	CCDS14531
1831	CCDS14530
1831	
94163	
143162	
143162	CCDS31195
11342	CCDS3146
11342	
100126310	
100847062	
102465876	
102465430	
8970	CCDS4618
8970	
100500918	
574462	
574465	
692108	
6483	CCDS10890
6483	
100422948	
100500822	
100302208	
102465473	
102466864	
100337591	
677771	
79165	CCDS12881
102465694	
91380	
100422984	
102465488	
8676	CCDS5205
102466723	
100302224	
100422855	
692212	
26820	
693227	
100500818	
6351	
147929	CCDS12491
147929	
100033822	
406908	
693232	
102465465	
724031	
103504728	
100422833	
100616421	
100302255	
31	CCDS42302
31	CCDS11318
31	CCDS11317
31	
31	CCDS42303
100616161	
100500878	
6359	
677770	
3034	CCDS9058
3034	
3034	CCDS58265
3034	CCDS58264
102465974	
100616201	
407055	
100126325	
100616353	
100134015	
100616363	
406904	
100422869	
199	
100302160	
11143	CCDS11554
11143	CCDS56037
11143	CCDS56036
11143	CCDS56038
11143	CCDS56035
11143	
100616492	
100313921	
100616219	
442904	
1121	CCDS14454
1121	
1121	CCDS48139
442912	
574455	
677829	
689	CCDS4019
689	
689	CCDS34185
100302274	
100422851	
101060691	
3849	CCDS8835
3849	
100616251	
677795	
767609	
653689	
100616220	
724028	
57116	
57116	CCDS55694
57116	CCDS44344
100616306	
100302181	
677804	
22881	CCDS56442
22881	
22881	CCDS56441
22881	CCDS47460
22881	CCDS56443
100033442	
56893	CCDS1127
56893	
100422918	
693140	
100616424	
23155	CCDS41362
23155	
23155	CCDS793
23155	CCDS60214
23155	CCDS60215
125050	
102465691	
100616415	
767603	
100847065	
22909	
100847058	
84620	CCDS2073
84620	
84620	CCDS46380
28985	
28985	CCDS14601
28985	CCDS48160
100422876	
4133	CCDS33369
4133	
4133	CCDS2384
4133	CCDS2385
102466758	
5176	CCDS11012
5176	
100302203	
1522	CCDS13474
1522	
8794	
8794	CCDS6037
594839	
102465499	
54535	
100500836	
100500920	
692107	
100846995	
100500842	
102465513	
407050	
100616319	
677843	
102465468	
100847024	
100302111	
100616287	
406963	
100616172	
10211	CCDS4688
10211	
693223	
100302284	
23378	CCDS31411
23378	
100422981	
102465528	
102466906	
780854	
100422868	
100302220	
100500910	
101928388	
407013	
101059938	
101059953	
102465839	
100422829	
100033451	
100616468	
100616481	
102466222	
100505681	
100616116	
100500854	
101929439	
100847023	
102466759	
102466193	
79573	
79573	CCDS44332
79573	CCDS1588
406991	
102465802	
100302158	
102466754	
100616479	
100033802	
9302	
406913	
3337	CCDS12312
3337	CCDS74295
3337	
100616438	
406892	
100616465	
767598	
494332	
26585	
123745	CCDS55962
123745	
220963	CCDS7256
220963	
643853	CCDS46786
643853	CCDS33732
100422895	
253260	CCDS34148
253260	
253260	CCDS68861
100422881	
126123	CCDS12792
126123	
100616151	
102465530	
100616170	
654319	
102465483	
100847069	
102465515	
677681	
100124541	
26813	
407035	
319103	
253175	CCDS35486
253175	CCDS35487
728577	
728577	CCDS75836
100289279	
100289279	CCDS75836
26772	
84929	
84929	CCDS6937
23406	CCDS10947
23406	
102466735	
100302165	
100033812	
100500893	
406933	
100616410	
100033446	
100616346	
100616493	
100616239	
100302128	
100302164	
767588	
100422963	
100616294	
399474	CCDS30658
7357	CCDS6782
7357	
6835	CCDS6967
6835	
102466911	
478	
478	CCDS12594
478	CCDS58664
478	CCDS58663
100169764	
100847066	
1139	CCDS53924
1139	CCDS10027
1139	
102465522	
55667	
55667	CCDS6491
101927931	
406954	
768217	
100616193	
100616459	
100422826	
574488	
27335	CCDS77293
27335	CCDS12517
27335	
27335	CCDS74360
102465871	
407022	
100616308	
100500871	
100616368	
100616451	
692213	
406992	
8555	
8555	CCDS6722
8555	CCDS6721
8555	CCDS43853
10273	CCDS10419
10273	
10273	CCDS76797
494551	CCDS43660
494551	
1656	CCDS44751
1656	
100422907	
102466875	
100500906	
100616131	
693197	
100616433	
767600	
728039	
102465874	
100033458	
154	CCDS4292
100302256	
102465247	
100616147	
100423028	
102465505	
100422858	
100423036	
100616291	
100847060	
100616312	
6635	
6635	CCDS30979
23409	
23409	CCDS9194
84935	CCDS9338
84935	
100126297	
653784	
653784	CCDS42758
100847039	
574493	
100500817	
100847071	
100423041	
57658	
57658	CCDS44908
57658	CCDS8864
100500819	
100302146	
100033439	
83707	CCDS31595
83707	
83707	CCDS53653
83707	CCDS53652
83707	CCDS44639
406895	
102465869	
100616285	
102466736	
693211	
100033810	
100302184	
100874528	
100616158	
100616478	
100616322	
100500810	
100313887	
693210	
574501	
100616488	
22888	CCDS13046
22888	CCDS13047
22888	
79811	CCDS10168
79811	
677841	
102465836	
100616384	
728062	CCDS35386
728062	
102464825	
100616232	
83548	
83548	CCDS9398
406997	
100302286	
84246	CCDS34134
84246	
102465683	
102465801	
100616364	
102465535	
100422848	
102466873	
554212	
54964	CCDS980
54964	
407029	
767585	
100616302	
56137	CCDS75327
56137	CCDS47285
100422923	
574411	
100616273	
100423001	
100616379	
56156	CCDS14534
102466104	
100422925	
407047	
407028	
100616314	
693129	
100500856	
100422996	
102465689	
103504740	
100616401	
100847036	
102465520	
693186	
2965	CCDS7838
2965	
100302275	
387715	CCDS53585
100847087	
26821	
148	CCDS34869
148	
148	CCDS6052
148	CCDS6053
148	CCDS6054
677847	
102465493	
100847002	
100616489	
89839	
693174	
255631	CCDS41353
255631	
102465427	
102466189	
285237	CCDS2921
285237	
693135	
81168	CCDS31520
9883	CCDS59059
9883	CCDS5542
9883	
574511	
406903	
100506127	
100506127	CCDS73348
100422825	
100422827	
100169765	
4670	CCDS12204
4670	
4670	CCDS12203
100500847	
100616233	
574470	
693207	
100302161	
100422901	
84678	CCDS41849
84678	
84678	CCDS41850
100302123	
100422832	
100422899	
93166	CCDS47259
93166	
102466732	
100616456	
100616248	
767591	
102465250	
693180	
100033815	
677780	
677809	
26829	
100616416	
8459	CCDS13839
8459	
9253	CCDS77298
9253	
9253	CCDS12561
693196	
100033428	
100033416	
100847012	
100422985	
26835	
100500876	
100422843	
102465840	
574510	
100302229	
582	
582	CCDS8142
100423026	
693158	
100616423	
100847076	
102466889	
3116	
102465462	
100302114	
314	CCDS11443
314	CCDS45690
100500851	
100616244	
102466616	
406919	
50832	CCDS5868
102465752	
102465524	
100616474	
102723897	
100616476	
100422960	
100847068	
132864	
132864	CCDS56325
132864	CCDS56326
100847046	
100422861	
406960	
100616482	
105372894	
100126304	
407006	
2353	CCDS9841
2353	
574459	
100422873	
767608	
102465441	
100422954	
100188847	
102466865	
100616484	
406952	
100616428	
574516	
100422936	
100616243	
728137	CCDS48204
728137	
100302144	
100616432	
101954273	
100169766	
100422854	
100616342	
102465837	
100126349	
102464832	
100422862	
11076	CCDS3856
101954271	
102465517	
554214	
100422908	
154288	CCDS34484
26870	
100847029	
100500881	
