EntrezGene ID	RefSeq mRNA [e.g. NM_001195597]
102465437	
100616341	
100422896	
79613	
79613	NM_024562
8227	NM_005088
8227	
100616177	
101410545	
51725	NM_016298
100506013	NM_001297550
100506013	
677817	
128218	NM_144626
128218	
100847085	
9655	NM_014011
9655	NM_144949
100500839	
102466972	
245939	NM_001037732
101929261	
102466190	
26519	NM_012456
26519	
100126330	
144486	
56658	
56658	NM_172016
56658	NM_001199119
56658	NM_021253
202658	
202658	NM_172016
202658	NM_001199119
202658	NM_021253
693191	
353511	
100422823	
442902	
100616333	
3803	NM_014219
3803	
102466874	
100500811	
102465492	
100500821	
56662	
100033443	
100422830	
6218	NM_001021
6218	
3447	NM_006900
3447	
677797	
677837	
80737	NM_025258
80737	
100847075	
337976	NM_181616
56979	
56979	NM_020227
389362	
389362	NM_001128591
389362	NM_001128592
389362	NM_001135750
100500835	
100126319	
8449	
8449	NM_003587
8449	NM_001164239
729665	
729665	NM_001164399
677825	
100313842	
693233	
102465525	
140881	NM_080831
56888	
56888	NM_020122
407002	
4888	
440757	
100169758	
129790	
8220	NM_022719
8220	
100423030	
100422924	
406982	
100313829	
199713	NM_139176
199713	NM_001127255
199713	NM_206828
5581	
5581	NM_005400
26255	
100423029	
102465993	
102466251	
4758	
4758	NM_000434
402778	
402778	NM_001170820
1238	
1238	NM_001296
340168	NM_001025290
100500802	
100616469	
102465246	
445347	
5304	NM_002652
730013	
595100	
100500916	
100533105	
100533105	NM_001204173
101929478	
115795	
115795	NM_173472
115795	NM_001164839
692091	
100500803	
100616417	
26832	
1263	NM_004073
1263	
100616373	
406962	
93474	NM_033213
93474	NM_001204220
677810	
6138	
6138	NM_001253382
6138	NM_001253383
6138	NM_001253380
6138	NM_001253379
6138	NM_002948
6138	NM_001253384
100422866	
54780	NM_017615
54780	NM_001167865
54780	
100033441	
201229	
201229	NM_001076680
253018	
100500840	
407018	
102465446	
143872	
143872	NM_152432
255403	NM_001039127
255403	NM_001289931
255403	NM_001289930
100302265	
26797	
100033816	
102465256	
100422919	
6917	NM_201437
6917	NM_006756
6917	
100874002	
259296	NM_176890
100500864	
126014	NM_206818
126014	NM_001282349
126014	NM_001282350
126014	NM_133168
126014	NM_133169
126014	NM_130771
126014	
10321	NM_006061
10321	
10321	NM_001190986
100422874	
102466745	
10466	NM_181733
10466	NM_006348
10466	NM_001161520
10466	
100616480	
100033435	
3263	NM_000613
3263	
102465248	
101928287	
84692	NM_032600
101927143	
100033414	
84443	
84443	NM_032428
84616	NM_032524
677818	
8754	
8754	NM_003816
102465472	
27120	
27120	NM_001197302
27120	NM_014419
27120	NM_001197301
100313938	
654322	
100302226	
728072	NM_001080142
728072	
133060	NM_177998
574469	
340390	
100616382	
26716	NM_030883
26716	
338755	NM_001004490
101928539	
100616188	
100422989	
57674	
57674	NM_001256071
57674	NM_020954
100126320	
102465480	
100616118	
23120	NM_025153
23120	
100126336	
79166	
8822	NM_001304478
8822	NM_003867
8822	
284415	NM_198481
284415	NM_001288792
284415	
284415	NM_001288793
100313838	
5644	
5644	NM_002769
6029	
767599	
102465449	
9972	NM_005124
9972	NM_001278210
9972	NM_001278209
100616149	
100500886	
51156	NM_016186
51156	NM_001100607
51156	
26869	
102466657	
94033	NM_177478
56005	
56005	NM_019107
3797	NM_002254
3797	
7052	NM_004613
7052	
619570	
26152	NM_001290261
26152	NM_015655
26152	
100422957	
100422959	
100422844	
148206	
148206	NM_182515
100500809	
100500820	
101929297	
102466880	
100616203	
1616	NM_001350
1616	NM_001141970
1616	NM_001141969
1616	NM_001254717
29844	NM_013342
100616441	
9907	NM_014855
9907	
494335	
100526767	NM_001198954
100526767	
359	
359	NM_000486
65243	
65243	NM_023070
401093	
158833	
158833	NM_001013579
100126340	
165631	NM_001113523
165631	NM_001308320
165631	
165631	NM_152615
165631	NM_001308321
414196	
57189	NM_001080392
57189	
79690	
79690	NM_024637
340205	NM_001271807
340205	NM_178174
340205	NM_001271808
340205	
101928661	
6928	NM_000458
6928	NM_001165923
6928	
6928	NM_001304286
677767	
26831	
693144	
677778	
767593	
1136	
1136	NM_001166694
1136	NM_000743
100616339	
102465861	
100302190	
100313841	
441864	NM_001135686
101927694	
1351	NM_004074
353513	NM_181880
100505915	
101928682	
692209	
677814	
100847088	
105374896	
149086	
100616383	
100616165	
196500	NM_001244015
196500	NM_153685
196500	NM_001244014
196500	
64112	NM_022151
64112	
101340251	
100847040	
51594	NM_015909
51594	
90025	NM_001304437
90025	NM_198920
90025	
594838	
619564	
9656	NM_014641
9656	
100313771	
100423025	
3106	NM_005514
3106	
767611	
9730	NM_014703
9730	NM_001171904
9730	
102465944	
100423016	
100616347	
389831	
102723360	
102724219	
102724441	
102724843	
102724951	
574460	
692085	
102465490	
102465536	
100616298	
5817	NM_006505
5817	NM_001135769
5817	NM_001135768
5817	
5817	NM_001135770
390245	NM_001161630
100302148	
100302126	
103504738	
442914	
407044	
100847042	
25853	NM_015397
25853	
100313914	
389434	NM_001164694
389434	NM_203395
389434	
389434	NM_001164695
100313895	
4012	
4012	NM_005575
4012	NM_175920
9698	
9698	NM_014676
9698	NM_001020658
101928708	
100422926	
3987	
3987	NM_001205288
100288695	
100288695	NM_001205288
100616255	
102465521	
102465136	
102465856	
100422835	
402055	NM_001013694
402055	
103625684	
100422904	
1474	NM_001323
100381270	NM_001174108
26771	
164091	NM_178422
255919	NM_153261
255919	
255919	NM_001281789
677819	
142683	NM_080878
142683	
54716	NM_022405
54716	NM_020208
54716	
100616157	
102465494	
100302133	
406972	
54660	
147948	
147948	NM_144690
100500898	
105379554	
11149	NM_001199563
11149	NM_007073
11149	NM_147147
100033447	
100500884	
692199	
6477	
6477	NM_001006610
6477	NM_003031
837	
837	NM_001225
837	NM_033306
102465835	
100422880	
9231	
9231	NM_004747
199713	
284551	
693173	
406897	
100616153	
100379224	
574515	
54033	
54033	NM_144770
574494	
101954264	
101954268	
100500867	
100422973	
5158	NM_001145291
5158	NM_000283
5158	
5158	NM_001145292
441631	
441631	NM_001080509
400798	
406932	
100616426	
338429	
56663	
100616117	
693193	
102466879	
692109	
100847005	
100616344	
26807	
100616231	
414236	
414236	NM_001001791
147645	
147645	NM_001163922
22937	
22937	NM_012235
30846	NM_014601
30846	
100422975	
100500888	
677831	
23466	NM_014292
23466	NM_001303494
23466	
100302242	
100313773	
100422839	
100423010	
84669	NM_032582
84669	
102465878	
102465435	
100422824	
1797	NM_005510
1797	
388701	NM_001010979
100423037	
106780802	
406980	
8334	
8334	NM_003512
5184	
5184	NM_000285
5184	NM_001166056
5184	NM_001166057
100036564	
677839	
100616425	
100616113	
100847015	
79825	NM_024768
79825	
100302179	
102466247	
100313923	
692092	
57498	
57498	NM_020738
100423014	
100033448	
26121	
26121	NM_015629
102464833	
102466191	
100616350	
100422883	
261726	NM_152902
261726	NM_001031800
100616288	
100847086	
100616326	
100616159	
100616194	
79042	NM_001077446
79042	NM_024075
79042	NM_001282333
79042	NM_001282332
100500813	
693212	
3111	NM_002119
3111	
693125	
100500877	
100423017	
100616217	
100616464	
102465510	
692057	
114825	
114825	NM_052927
114825	NM_001267035
