EntrezGene ID	Affy HG U133A probeset
51398	
2252	205782_at
2252	
2252	
2252	
2252	
2252	205782_at
285761	
285761	
285761	
285761	
285761	
285761	
285761	
285761	
285761	
285761	
285761	
285761	
81623	221414_s_at
81623	
7428	203844_at
7428	203844_at
7428	
4099	
4099	216617_s_at
4099	216617_s_at
4099	
4099	
4099	216617_s_at
4099	
4099	216617_s_at
79823	
79823	
79823	
79823	219617_at
79823	
79823	
79823	
79823	
79823	
79823	219617_at
105373876	
158219	
158219	
158219	
158219	
158219	
158219	
158219	
158219	
158219	
124923	
124923	
124923	
124923	
124923	
124923	
124923	
124923	
124923	
124923	
124923	
124923	
22835	
22835	207090_x_at
22835	207090_x_at
22835	
22835	
22835	
22835	
22835	
22835	
22835	
22835	
22835	207090_x_at
653641	207575_at
152687	
152687	
152687	
152687	
152687	
729597	
64412	
64412	
64412	
64412	
64412	
6015	
6015	
713	202953_at
713	202953_at
713	202953_at
713	202953_at
3133	
3133	
3133	
135941	
135941	
22856	203044_at
22856	
22856	
22856	
22856	
22856	
140850	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
54495	
100507173	
100507173	
100507173	
100507173	
100288428	
100288428	
100288428	
100288428	
100288428	
100288428	
100288428	
101927394	
101927394	
101927394	
101927394	
101927394	
101927394	
101927394	
56245	
56245	
56245	
56245	
56245	
344595	
344595	
344595	
344595	
344595	
3577	207094_at
58530	207457_s_at
58530	207457_s_at
58530	207457_s_at
83890	
83890	
83890	
83890	
83890	
83890	
400684	
51209	
80010	
80010	218979_at
80010	
101927132	
101927132	
114791	
114791	
114791	
114791	
114791	
114791	
114791	
114791	
114791	
114791	
114791	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
100506428	
79645	
79645	
79645	
79645	220156_at
79645	
79645	
79645	220156_at
79645	
79645	
153643	
153643	
153643	
153643	
153643	
153643	
153643	
153643	
153643	
55168	218385_at
55168	221693_s_at
55168	218385_at
55168	221693_s_at
55168	218385_at
55168	221693_s_at
100507534	
5652	202525_at
5652	202525_at
5652	202525_at
5652	
5652	
5652	
4588	
4588	
4588	
4588	
4588	
56902	211697_x_at
56902	203622_s_at
56902	
56902	211697_x_at
56902	203622_s_at
6749	200956_s_at
6749	200957_s_at
6749	200956_s_at
6749	200957_s_at
6749	200956_s_at
6749	200957_s_at
6749	
6749	
9678	204525_at
9678	204525_at
9678	
9678	
9678	
9678	
9678	
9678	
9678	204525_at
9678	
9678	
9678	
9678	
9678	
9678	
168850	
168850	
168850	
168850	
168850	
168850	
168850	
168850	
136332	
136332	
92304	
92304	
83755	
64788	
64788	
64788	
64788	
64788	
64788	
64788	
64788	
105274304	
23001	212602_at
23001	212598_at
23001	212606_at
23001	212602_at
23001	
23001	
23001	
23001	
23001	
23001	
23001	
23001	
23001	
23001	
3812	
3812	
154442	
154442	
154442	
154442	
10980	201405_s_at
10980	213504_at
10980	
10980	
10980	201405_s_at
10980	
10980	201405_s_at
10980	213504_at
10980	201405_s_at
10980	201405_s_at
10980	213504_at
10980	201405_s_at
10980	213504_at
10980	201405_s_at
10980	213504_at
80184	205250_s_at
80184	221683_s_at
80184	205250_s_at
80184	221683_s_at
80184	221683_s_at
80184	
80184	
80184	221683_s_at
80184	205250_s_at
80184	221683_s_at
491	204685_s_at
491	216120_s_at
491	211586_s_at
491	204685_s_at
491	216120_s_at
491	211586_s_at
491	204685_s_at
491	216120_s_at
491	211586_s_at
491	204685_s_at
491	216120_s_at
491	211586_s_at
491	216120_s_at
491	211586_s_at
491	216120_s_at
491	211586_s_at
491	216120_s_at
491	211586_s_at
491	
491	204685_s_at
491	216120_s_at
491	211586_s_at
81871	
101928891	
100507629	
100507629	
100507629	
100507629	
100507629	
100507629	
100507629	
4116	210092_at
4116	210093_s_at
4116	210092_at
4116	210093_s_at
4116	210093_s_at
4116	210092_at
10112	
10112	218755_at
10112	218755_at
10112	
10112	
10112	
10112	218755_at
1399	212180_at
1399	206184_at
1399	212180_at
26228	220059_at
26228	
22880	216863_s_at
22880	203956_at
22880	203956_at
22880	216863_s_at
22880	203956_at
22880	216863_s_at
22880	203956_at
22880	
22880	
27293	205309_at
27293	205309_at
27293	
27293	
27293	
27293	205309_at
643803	
85289	
100130148	
100507246	
100507246	
100507246	
100507246	
100507246	
100507246	
100507246	
100507246	
241	204174_at
241	
241	204174_at
27145	
27145	
27145	
27145	
8705	210205_at
8705	216065_at
8705	210205_at
101929602	
93035	
93035	
93035	
93035	
6358	
6358	
6358	
6358	
100874097	
158798	
158798	
158798	
158798	
158798	
100128505	
81392	
154822	
154822	
