hgnc_id	hgnc	previous	synonyms	entrez
HGNC:50782	DDX43P3			
HGNC:18681	DDX46		KIAA0801, FLJ25329, PRPF5, Prp5	9879
HGNC:18682	DDX47		DKFZp564O176, FLJ30012, HQ0256, RRP3	51202
HGNC:18684	DDX49		FLJ10432	54555
HGNC:17906	DDX50		GU2, MGC3199, GUB, RH-II/GuB	79009
HGNC:18974	DDX50P1			192146
HGNC:18975	DDX50P2		RH_II/GuBp2	100421328
HGNC:20082	DDX51			317781
HGNC:20038	DDX52		ROK1	11056
HGNC:20083	DDX53		CAGE, CT26	168400
HGNC:20084	DDX54		MGC2835, APR-5, DP97	79039
HGNC:20085	DDX55		KIAA1595	57696
HGNC:49852	DDX55P1			100129640
HGNC:18193	DDX56		NOH61	54606
HGNC:19102	DDX58		RIG-I, FLJ13599, DKFZp434J1111	23586
HGNC:25360	DDX59		DKFZP564B1023, ZNHIT5	83479
HGNC:25942	DDX60		FLJ20035	55601
HGNC:26429	DDX60L		FLJ31033	91351
HGNC:14677	DEAF1		NUDR, SPN, ZMYND5	10522
HGNC:23658	DEC1		CTS9	50514
HGNC:2753	DECR1	DECR	SDR18C1	1666
HGNC:2754	DECR2		PDCR, SDR17C1	26063
HGNC:2755	DEDD		DEFT, FLDED1, CASP8IP1, KE05, DEDD1	9191
HGNC:24450	DEDD2		FLAME-3	162989
HGNC:2756	DEF1~withdrawn			
HGNC:2757	DEF3~withdrawn			
HGNC:2758	DEF4~withdrawn			
HGNC:2759	DEF5~withdrawn			
HGNC:2760	DEF6		IBP, SLAT, SWAP70L	50619
HGNC:25969	DEF8		FLJ20186	54849
HGNC:2761	DEFA1	DEF1, MRS, DEFA2	HNP-1	1667
HGNC:32231	DEFA1A3		DEFA1, DEFA3, DEFT1P	
HGNC:33596	DEFA1B			728358
HGNC:29133	DEFA2~withdrawn			
HGNC:2762	DEFA3	DEF3	HNP-3	1668
HGNC:2763	DEFA4	DEF4	HP-4	1669
HGNC:2764	DEFA5	DEF5	HD-5	1670
HGNC:2765	DEFA6		HD-6, DEF6	1671
HGNC:31798	DEFA7P	DEFA7		724067
HGNC:31799	DEFA8P		DEFAP1	449491
HGNC:24815	DEFA8~withdrawn			
HGNC:31800	DEFA9P		DEFAP2	449492
HGNC:31801	DEFA10P			449493
HGNC:33354	DEFA11P		DEFAP3	724068
HGNC:2766	DEFB1		HBD-1, DEFB-1, DEFB101, HBD1, BD1, MGC51822	1672
HGNC:2767	DEFB4A	DEFB102, DEFB2, DEFB4	SAP1, HBD-2, DEFB-2	1673
HGNC:30193	DEFB4B	DEFB4P		100289462
HGNC:15967	DEFB103A	DEFB3, DEFB103	HBD-3, HBP-3, HBD3, HBP3, DEFB-3	414325
HGNC:31702	DEFB103B			55894
HGNC:18115	DEFB104A	DEFB104	DEFB4, DEFB-4	140596
HGNC:26165	DEFB104B			503618
HGNC:18087	DEFB105A	DEFB105	DEFB-5	245908
HGNC:29930	DEFB105B			504180
HGNC:18088	DEFB106A	DEFB106	DEFB-6	245909
HGNC:28879	DEFB106B			503841
HGNC:18086	DEFB107A	DEFB107	DEFB-7	245910
HGNC:31918	DEFB107B		HsT21816	503614
HGNC:29966	DEFB108B			245911
HGNC:18089	DEFB108P1	DEFB108	DEFB-8, DEFB108A	503694
HGNC:30847	DEFB108P2			503837
HGNC:26227	DEFB108P3			504185
HGNC:30174	DEFB108P4			503840
HGNC:18090	DEFB109P1	DEFB109	DEFB-9, DEFB109A	245912
HGNC:33469	DEFB109P1B			641517
HGNC:30592	DEFB109P2			503839
HGNC:30838	DEFB109P3			503838
HGNC:18091	DEFB110		DEFB-10, DEFB-11, DEFB111	245913
HGNC:18092	DEFB111~withdrawn			
HGNC:18093	DEFB112		DEFB-12	245915
HGNC:18094	DEFB113		DEFB-13	245927
HGNC:18095	DEFB114		DEFB-14	245928
HGNC:18096	DEFB115		DEFB-15	245929
HGNC:18097	DEFB116		DEFB-16	245930
HGNC:18098	DEFB117		DEFB-17	245931
HGNC:16196	DEFB118	C20orf63	dJ1018D12.3, DEFB-18, ESC42	117285
HGNC:18099	DEFB119	DEFB120	DEFB-19, DEFB-20	245932
HGNC:18100	DEFB120~withdrawn			
HGNC:18101	DEFB121		DEFB-21	245934
HGNC:18102	DEFB122		DEFB-22, DEFB122P	245935
HGNC:18103	DEFB123		DEFB-23	245936
HGNC:18104	DEFB124		DEFB-24	245937
HGNC:18105	DEFB125		DEFB-25	245938
HGNC:15900	DEFB126	C20orf8	bA530N10.1, DEFB-26	81623
HGNC:16206	DEFB127	C20orf73	bA530N10.2, DEF-27	140850
HGNC:18106	DEFB128		DEFB-28	245939
HGNC:16218	DEFB129	C20orf87	bA530N10.3, DEFB-29	140881
HGNC:18107	DEFB130		DEFB-30, DEFB30	245940
HGNC:18108	DEFB131		DEFB-31	644414
HGNC:33806	DEFB132		RP5-1103G7.6, DEFB32	400830
HGNC:18109	DEFB132P~withdrawn			
HGNC:31331	DEFB133			403339
HGNC:32399	DEFB134			613211
HGNC:32400	DEFB135			613209
HGNC:34433	DEFB136		DEFB137	613210
HGNC:18339	DEFT1P	DEFQ1, DEFT1		170949
HGNC:33599	DEFT1P2			100287083
HGNC:30474	DEFT2P~withdrawn			
HGNC:17250	DEFT3P~withdrawn			
HGNC:26298	DEFT4P~withdrawn			
HGNC:17248	DEFT5P~withdrawn			
HGNC:26603	DEFT6P~withdrawn			
HGNC:13709	DEGS1		MLD, Des-1, DES1, FADS7, DEGS-1	8560
HGNC:20113	DEGS2	C14orf66	DES2, FADS8	123099
HGNC:2768	DEK		D6S231E	7913
HGNC:29324	DENND1A	KIAA1608	FLJ21129, FAM31A	57706
HGNC:28404	DENND1B	FAM31B, C1orf218	MGC27044, FLJ20054	163486
HGNC:26225	DENND1C	FAM31C	FLJ22757	79958
HGNC:22212	DENND2A	KIAA1277	FAM31D	27147
HGNC:24748	DENND2C		FLJ37099, DKFZp686G0351, DKFZp779P1149, dJ1156J9.1, RP5-1156J9.1	163259
HGNC:26192	DENND2D		FLJ22457, RP5-1180E21.2	79961
HGNC:29134	DENND3		KIAA0870	22898
HGNC:24321	DENND4A	MYCPBP	IRLB	10260
HGNC:29044	DENND4B	KIAA0476		9909
HGNC:26079	DENND4C	C9orf55B, C9orf55	FLJ20686, bA513M16.3	55667
HGNC:19344	DENND5A	RAB6IP1	KIAA1091, FLJ22354, FLJ33829, FLJ43455	23258
HGNC:28338	DENND5B		MGC24039	160518
