EntrezGene ID	Ensembl Gene ID
100910755	ENSRNOG00000059663
405212	ENSRNOG00000050604
100359879	ENSRNOG00000021302
691556	ENSRNOG00000037562
25649	ENSRNOG00000003500
100366237	ENSRNOG00000050932
24785	ENSRNOG00000015306
298139	ENSRNOG00000045733
100361468	ENSRNOG00000031618
287659	ENSRNOG00000059008
291394	ENSRNOG00000015591
24244	ENSRNOG00000016770
100362120	ENSRNOG00000051621
498074	ENSRNOG00000032187
316624	ENSRNOG00000020105
100362572	ENSRNOG00000003285
405301	ENSRNOG00000037404
494236	ENSRNOG00000045921
373540	ENSRNOG00000054218
367167	ENSRNOG00000030101
361676	ENSRNOG00000018736
305552	ENSRNOG00000054331
307343	ENSRNOG00000016740
78961	ENSRNOG00000012186
29492	ENSRNOG00000018835
309918	ENSRNOG00000027089
314396	ENSRNOG00000006729
29277	ENSRNOG00000052810
308589	ENSRNOG00000021032
299274	ENSRNOG00000042391
295674	ENSRNOG00000011830
300589	ENSRNOG00000057610
100910363	ENSRNOG00000057610
29187	ENSRNOG00000056783
307459	ENSRNOG00000013920
290221	ENSRNOG00000018528
681067	ENSRNOG00000057013
366458	ENSRNOG00000047595
100910682	ENSRNOG00000047595
680602	ENSRNOG00000028730
310483	ENSRNOG00000012827
100233176	ENSRNOG00000046085
361047	ENSRNOG00000021847
289197	ENSRNOG00000004245
316687	ENSRNOG00000011962
300768	ENSRNOG00000015257
316376	ENSRNOG00000012375
290670	ENSRNOG00000020599
287098	ENSRNOG00000003648
360504	ENSRNOG00000047321
25128	ENSRNOG00000015557
100360575	ENSRNOG00000046941
100360575	ENSRNOG00000046941
100909964	ENSRNOG00000046941
100909964	ENSRNOG00000046941
303539	ENSRNOG00000018364
311505	ENSRNOG00000024882
315212	ENSRNOG00000004591
292780	ENSRNOG00000047943
687780	ENSRNOG00000046393
100360647	ENSRNOG00000046393
299142	ENSRNOG00000056012
266601	ENSRNOG00000019980
171052	ENSRNOG00000008478
25367	ENSRNOG00000001227
117549	ENSRNOG00000002524
290642	ENSRNOG00000018932
361069	ENSRNOG00000012273
29639	ENSRNOG00000016469
100909715	ENSRNOG00000061540
367252	ENSRNOG00000018276
298225	ENSRNOG00000024204
287514	ENSRNOG00000033267
60583	ENSRNOG00000009314
315756	ENSRNOG00000011739
315722	ENSRNOG00000026178
304979	ENSRNOG00000007604
94170	ENSRNOG00000003269
81782	ENSRNOG00000004111
310233	ENSRNOG00000054426
313906	ENSRNOG00000039815
300129	ENSRNOG00000017022
29618	ENSRNOG00000004284
170896	ENSRNOG00000020655
680794	ENSRNOG00000013835
298981	ENSRNOG00000005113
100912488	ENSRNOG00000050355
297113	ENSRNOG00000011052
100365683	ENSRNOG00000050690
309110	ENSRNOG00000046382
100911365	ENSRNOG00000046382
501890	ENSRNOG00000047839
501902	ENSRNOG00000047839
363085	ENSRNOG00000017766
286888	ENSRNOG00000014739
25693	ENSRNOG00000011992
294964	ENSRNOG00000011949
304549	ENSRNOG00000028814
304987	ENSRNOG00000003480
498079	ENSRNOG00000023030
294595	ENSRNOG00000040297
688553	ENSRNOG00000037632
494227	ENSRNOG00000057572
300257	ENSRNOG00000012985
353302	ENSRNOG00000060356
684545	ENSRNOG00000049759
361171	ENSRNOG00000017956
363472	ENSRNOG00000026044
293410	ENSRNOG00000009910
498234	ENSRNOG00000005988
689118	ENSRNOG00000038495
690430	ENSRNOG00000023073
24412	ENSRNOG00000021063
679082	ENSRNOG00000048166
291164	ENSRNOG00000051823
252880	ENSRNOG00000020045
288378	ENSRNOG00000029881
287321	ENSRNOG00000002858
498006	ENSRNOG00000002905
64517	ENSRNOG00000019924
295448	ENSRNOG00000011844
289020	ENSRNOG00000009691
309326	ENSRNOG00000053859
296599	ENSRNOG00000005840
85244	ENSRNOG00000010934
316403	ENSRNOG00000048668
100911305	ENSRNOG00000048668
65026	ENSRNOG00000029893
680174	ENSRNOG00000025519
302557	ENSRNOG00000007766
103690291	ENSRNOG00000058639
296583	ENSRNOG00000018231
301430	ENSRNOG00000012558
314406	ENSRNOG00000037762
24552	ENSRNOG00000009715
304851	ENSRNOG00000002580
361935	ENSRNOG00000017462
316313	ENSRNOG00000012207
298584	ENSRNOG00000007330
314523	ENSRNOG00000004520
361466	ENSRNOG00000028261
311630	ENSRNOG00000015525
64509	ENSRNOG00000039975
282838	ENSRNOG00000052219
310508	ENSRNOG00000012019
691501	ENSRNOG00000010156
680576	ENSRNOG00000011387
59322	ENSRNOG00000007014
298040	ENSRNOG00000052071
299872	ENSRNOG00000027690
171385	ENSRNOG00000003884
308350	ENSRNOG00000046683
308350	ENSRNOG00000046683
309256	ENSRNOG00000023985
