EntrezGene ID	Associated Gene Name
25725	Prkar1a
83611	Apba3
502962	LOC100912356
100912356	LOC100912356
313776	Perm1
78965	Csf1
405363	Olr264
304984	Cfap45
691905	Pla2g4d
100909510	LOC100909510
362383	Rpia
361839	Ctnna3
363017	Taf1d
361618	Stim1
408206	Ggt6
363463	Mospd2
29413	Adra1d
298006	Ccl21
288657	Ogfod2
299246	Ttc8
366232	Rem1
65187	Gabrq
311846	Lrrc8a
295961	Apip
293702	Fkbp2
298559	Tcea3
287773	Helz
299757	Nts
311332	Dll4
679890	Gpkow
405914	Olr174
303414	Epx
296345	Jph2
311134	Ccdc141
312701	Cd163
314423	Bcl11b
50690	Slc6a8
309357	Tmem185a
313775	RGD1311517
360971	Nipsnap1
363437	Rhox12
502857	Noto
294320	Glo1
297570	Pex26
502736	Cpa4
24592	Nf1
404989	Olr268
171439	Bzw2
501560	Rps6ka3
363633	Polr2a
306977	Zkscan3
290571	Zfp488
290571	Zfp488
287115	Pgp
689792	Skint8
290633	Gtpbp3
292964	LOC100912182
100910180	LOC100912182
290999	Higd2a
300084	Rbx1
688394	Mab21l1
83717	LOC103690116
29308	Arl4a
685907	RGD1563483
102557244	LOC102557244
367391	Marco
65166	Sec11a
315969	Topbp1
686298	Ppm1m
502969	Cyp2j16
83509	Slc7a7
311791	Zmynd19
25415	Crmp1
291000	Faf2
293091	Olr30
65276	Nmur1
313421	C8b
365314	Lipt2
311115	Ubr3
29581	Htr2b
116465	Ifngr1
353218	Tnfsf9
289237	Slamf8
79429	Pdgfc
259243	Kcnip4
314637	Slc39a3
310261	Eif5a2
498840	Tmem173
365528	Trim40
78962	Per3
497903	Sowaha
287034	Tnfrsf17
305025	Tp53bp2
303336	Wsb1
686900	LOC103691843
311807	Bmyc
498185	Slc8b1
291750	Trappc8
103689930	Trappc8
289928	RGD1306063
308768	Ticrr
60446	Crx
367021	Fam76b
367021	Fam76b
29387	Pla2g2c
688311	Arl16
405332	Olr802
170929	Bcl2a1
689978	Nrsn2
361095	Zic5
266716	Zscan12
293703	Nudt22
24236	C4bpb
266777	Nptx1
679805	Mei4
65096	Adgrl1
310869	Rrh
304763	R3hdm1
309082	Clrn3
404844	Olr633
303008	Rhbdf1
313139	Slc35a1
297381	LOC103692173
103692173	LOC103692173
367214	Oard1
308362	Zfp110
311730	Gpr155
311956	Wdr86
366274	Ntsr1
246328	Serpina4
65261	Myo1c
498709	Cks2
308051	Rnf146
307641	Csnk2a2
300446	Zfp653
301097	Vwa5a
315330	Espl1
298282	Oma1
59295	Nucb2
114099	Cysltr1
24916	Rnf112
296732	Smarcd3
681190	Kcne5
361565	Vrk3
100910106	Gm4944
64390	Prpsap1
83523	Impa1
365215	Smg9
306805	NEWGENE_1549776
303824	Igf2bp2
405290	Olr260
365176	Zfp787
296956	Ube2h
364656	Mrpl36
100910528	Mrpl36
362134	Mmadhc
292534	Tsen34
100909510	Tsen34
688749	Tulp3
685425	Odf2l
171102	Cdc25a
50645	Rab27a
315567	Panx3
100362450	Wfdc17
404781	Iqsec3
81640	Amd1
317435	Shroom2
29410	Neurog1
64461	Nme4
685679	Nme4
309449	Elovl3
25704	Il2ra
29643	Sv2c
293765	Olr327
25748	Alas2
311825	Stkld1
100359861	Smim15
29195	Chad
682865	Rab42
291002	Cdhr2
114856	Dusp1
54251	Flt1
100910893	LOC100910893
103690355	LOC100910893
297518	Arpc4
252856	Tcf21
24493	Il1a
54233	Car5a
690880	Fam131c
65178	Snap91
500247	Aplf
308069	Slc12a7
81763	Rpl5
360919	LOC360919
